   -0.155108826629999719E+01    0.228476418315178664E+01    0.233310430305002825E+01   -0.198535160180251438E+03
   -0.153667727582830227E+01    0.231314232080690330E+01    0.232270177471464834E+01   -0.197025630719278524E+03
   -0.157134215538059552E+01    0.235200148888984417E+01    0.236603592951833086E+01   -0.196272410211504280E+03
   -0.156613982260048279E+01    0.227084116341031272E+01    0.237238423496527417E+01   -0.195337867480339042E+03
   -0.152621704748035913E+01    0.222709627594238757E+01    0.231572717355921931E+01   -0.195145002232243741E+03
   -0.153917965551615965E+01    0.229058136818928615E+01    0.233169133940418760E+01   -0.195042050673677011E+03
   -0.157849431394169870E+01    0.234333165896731188E+01    0.237851068910410568E+01   -0.194963931905303184E+03
   -0.156035825154930508E+01    0.225893472887774482E+01    0.236416372589658863E+01   -0.194905831148046218E+03
   -0.155008110163342705E+01    0.226372531886867856E+01    0.233864704062017204E+01   -0.194811961282557178E+03
   -0.158597579137108058E+01    0.230973140171898894E+01    0.238943259548248221E+01   -0.194769714080374456E+03
   -0.158467089087157031E+01    0.233849515189229473E+01    0.238324593770683890E+01   -0.194381361474816231E+03
   -0.149967548084839852E+01    0.223427261995340842E+01    0.227357783105547284E+01   -0.194185438705875043E+03
   -0.157265560450647257E+01    0.227706358225889227E+01    0.237643964281511622E+01   -0.194164330084198014E+03
   -0.149769107915421840E+01    0.223456410523058491E+01    0.227175264600538540E+01   -0.194091259035234998E+03
   -0.158022849341223859E+01    0.229485383728401660E+01    0.238609759810984556E+01   -0.194081862664290924E+03
   -0.150087200830708523E+01    0.226263527291769684E+01    0.227250411862275925E+01   -0.194016785336970372E+03
   -0.154350709694675814E+01    0.226020490267571894E+01    0.232972510441367930E+01   -0.194016079527016757E+03
   -0.153631246530831755E+01    0.225925286312133089E+01    0.233194036371630631E+01   -0.193953770052586492E+03
   -0.155722038440635213E+01    0.229160569249355994E+01    0.235782609768332563E+01   -0.193953591119394957E+03
   -0.156213093793424118E+01    0.228395404354425935E+01    0.235372790291664025E+01   -0.193903908834536082E+03
   -0.157804102873904561E+01    0.232394117408657142E+01    0.237320809033543156E+01   -0.193884324315379814E+03
   -0.153317025241130622E+01    0.226852194195084511E+01    0.232599625179904912E+01   -0.193869195262568297E+03
   -0.155722249921707556E+01    0.229101693808138895E+01    0.234431408398369001E+01   -0.193868245310402273E+03
   -0.154245378619766660E+01    0.228949965572946645E+01    0.232209788378488113E+01   -0.193789133525520043E+03
   -0.154383956028298908E+01    0.230882886738110704E+01    0.232237928701786700E+01   -0.193781111442862112E+03
   -0.157324090110422077E+01    0.230517513415056685E+01    0.236808829606794546E+01   -0.193637622919790545E+03
   -0.158383927971404814E+01    0.233168908072893144E+01    0.238613081204112021E+01   -0.193627819508691317E+03
   -0.150135599996335234E+01    0.226055984521459141E+01    0.227212479281620716E+01   -0.193622452441615280E+03
   -0.150341368246207896E+01    0.223393460428453716E+01    0.228321415804186856E+01   -0.193615188817886064E+03
   -0.154418612635221142E+01    0.228533641231869700E+01    0.233949859756382317E+01   -0.193614448751874392E+03
   -0.156475568868242543E+01    0.230152558953784858E+01    0.235475659385029168E+01   -0.193527889434865472E+03
   -0.150329777420145305E+01    0.226336171301196032E+01    0.227656903808227895E+01   -0.193502495511908933E+03
   -0.153110438230416079E+01    0.230720676297779370E+01    0.231080716620238924E+01   -0.193443613262702570E+03
   -0.158228741145050100E+01    0.230759568409496563E+01    0.238636915844607245E+01   -0.193406173819145351E+03
   -0.157221389944770884E+01    0.228790568350788082E+01    0.237732137170873159E+01   -0.193399154608093994E+03
   -0.155037827114290083E+01    0.228380329750547029E+01    0.234875188388756762E+01   -0.193398440907400214E+03
   -0.153246504861529242E+01    0.224176859320378474E+01    0.231935960429618682E+01   -0.193382991042931536E+03
   -0.155801331684645405E+01    0.228551921267080704E+01    0.234705323824155165E+01   -0.193380798306247613E+03
   -0.156094729475367711E+01    0.233688854134358515E+01    0.234944182806806445E+01   -0.193369885185307851E+03
   -0.151934377077813121E+01    0.223955423058196423E+01    0.229978664786317744E+01   -0.193368189093978799E+03
   -0.152526961171096254E+01    0.227271618644866358E+01    0.231254604038524114E+01   -0.193359091033683342E+03
   -0.157969160463257197E+01    0.233165284109539250E+01    0.238093832007850281E+01   -0.193356219355384326E+03
