    0.151727604866027832E+01    0.384123611450195312E+01    0.883388876914978027E+01   -0.262218523950222787E+20   -0.599146350544150419E+01    1
    0.198977065086364746E+01    0.397135424613952637E+01    0.691515326499938965E+01   -0.244919872896667894E+20   -0.599396350544151169E+01    1
    0.125039315223693848E+01    0.320951104164123535E+01    0.984504342079162598E+01   -0.361359298067015424E+19   -0.599646350544151474E+01    1
    0.139336800575256348E+01    0.380627870559692383E+01    0.834106206893920898E+01   -0.288281750205739776E+19   -0.599896350544151957E+01    1
    0.102451682090759277E+01    0.267190337181091309E+01    0.871175646781921387E+01   -0.987803674243564000E+16   -0.600146350544151552E+01    1
    0.130655217170715332E+01    0.280056929588317871E+01    0.786008834838867188E+01   -0.971087931074431800E+16   -0.600396350544151858E+01    1
    0.159030199050903320E+01    0.292893266677856445E+01    0.693260908126831055E+01   -0.925943540302073200E+16   -0.600646350544151630E+01    1
    0.102446317672729492E+01    0.207538890838623047E+01    0.970471620559692383E+01   -0.624007479314898800E+16   -0.600896350544152469E+01    1
    0.560977935791015625E+00    0.327671074867248535E+01    0.868172645568847656E+01   -0.520677864503610700E+16   -0.601146350544151886E+01    1
    0.841323137283325195E+00    0.371713948249816895E+01    0.742609620094299316E+01   -0.512093048588885000E+16   -0.601396350544150859E+01    1
    0.184403181076049805E+01    0.333504295349121094E+01    0.482667684555053711E+01   -0.222318869382569150E+16   -0.601646350544151520E+01    1
    0.147975754737854004E+01    0.347014474868774414E+01    0.554213523864746094E+01   -0.202961126657220950E+16   -0.601896350544151559E+01    1
    0.941982269287109375E-01    0.336194181442260742E+01    0.933811068534851074E+01   -0.185149618077389600E+16   -0.602146350544152753E+01    1
    0.173090100288391113E+01    0.370686173439025879E+01    0.402548074722290039E+01   -0.987214040958156125E+15   -0.602396350544153325E+01    1
    0.169708776473999023E+01    0.207828211784362793E+01    0.781382560729980469E+01   -0.906135975760971000E+15   -0.602646350544152298E+01    1
   -0.135800838470458984E+00    0.351067996025085449E+01    0.944752097129821777E+01   -0.762700458319218625E+15   -0.602896350544150561E+01    1
    0.149382519721984863E+01    0.178968286514282227E+01    0.871917128562927246E+01   -0.542516787253525500E+15   -0.603146350544150955E+01    1
    0.126223516464233398E+01    0.241425108909606934E+01    0.746929407119750977E+01   -0.518794990037214625E+15   -0.603396350544152682E+01    1
