-4.306356923680191539e+04 -4.306439726453805633e+04 -4.306279231916727440e+04 -4.306434032412288070e+04 -4.306411014607704419e+04 -4.306030306017000839e+04 -4.306474067540714896e+04 -4.306224450182438886e+04 -4.306147657227130549e+04 -4.306292522530473070e+04 -4.305944243984572677e+04 -4.306111690456401266e+04 -4.306241551998215436e+04 -4.306581316814852471e+04 -4.306135071708889154e+04 -4.306312100847294641e+04 -4.306111026756608771e+04 -4.305905814263215143e+04 -4.306226455247168633e+04 -4.306158877185330493e+04 -4.306104456381792988e+04 -4.306208472874422296e+04 -4.306551284393901005e+04 -4.306137745363239083e+04 -4.306034518219470920e+04 -4.306248893725040398e+04 -4.306403180639947823e+04 -4.306262489328825905e+04 -4.306483677394686674e+04 -4.306221523392514064e+04 -4.306107047223207337e+04 -4.306421089617825055e+04
-4.306358022475917096e+04 -4.306298332153799856e+04 -4.306105578924756992e+04 -4.306434032412288070e+04 -4.306410483540822315e+04 -4.306031927423272282e+04 -4.306430752875362668e+04 -4.306204968529690086e+04 -4.305953969194676029e+04 -4.306292522530473070e+04 -4.305944243984572677e+04 -4.306143823981270543e+04 -4.306223113791841024e+04 -4.306267445749555918e+04 -4.306096497935066873e+04 -4.306312100847294641e+04 -4.306088904935211758e+04 -4.305719775593018130e+04 -4.306101767384834966e+04 -4.306158877185330493e+04 -4.306077927654744417e+04 -4.306209625555394450e+04 -4.306551284393901005e+04 -4.306100473471941223e+04 -4.306034518219470920e+04 -4.306269283400008135e+04 -4.306354347602785856e+04 -4.306273117821038613e+04 -4.306383261496106570e+04 -4.306276015547509451e+04 -4.306110021718787903e+04 -4.306590516840318014e+04
-4.306379204514759476e+04 -4.306132798957677005e+04 -4.306105578924756992e+04 -4.306439722269932099e+04 -4.306467744082775607e+04 -4.305882097948319279e+04 -4.306292502792998130e+04 -4.306258054424128932e+04 -4.305873512300184666e+04 -4.306281898877435015e+04 -4.305974501361841249e+04 -4.306135501604171441e+04 -4.306221554086069227e+04 -4.306378463684160670e+04 -4.306093657824629190e+04 -4.306318533441412001e+04 -4.306088904935211758e+04 -4.305590396850892284e+04 -4.306115872235292773e+04 -4.306115620757477882e+04 -4.306084750269447250e+04 -4.305883307817263994e+04 -4.306483656644917210e+04 -4.306051312712503568e+04 -4.305829099853029038e+04 -4.306121717432888545e+04 -4.306351793406617071e+04 -4.306273117821038613e+04 -4.306425538499738468e+04 -4.306260521400094876e+04 -4.305918835658215539e+04 -4.306590516840318014e+04
-4.306291028396836191e+04 -4.305892244314080017e+04 -4.306102132384977449e+04 -4.306496514860275056e+04 -4.306554994592810544e+04 -4.305909504972077411e+04 -4.306292450637279399e+04 -4.306249912226176821e+04 -4.305705071631888131e+04 -4.306281898877435015e+04 -4.305976036689660395e+04 -4.306147807188569277e+04 -4.306297167467926192e+04 -4.306031895119328692e+04 -4.306075780229386874e+04 -4.306090397280434263e+04 -4.306181327345955651e+04 -4.305590396850892284e+04 -4.306199688457446609e+04 -4.306115620757477882e+04 -4.306087511682186596e+04 -4.305842744323892111e+04 -4.306403976713053271e+04 -4.306051312712503568e+04 -4.305793536054829019e+04 -4.306124594711031386e+04 -4.306281333962103236e+04 -4.306273117821038613e+04 -4.306426107860580669e+04 -4.306367289678394445e+04 -4.305918835658215539e+04 -4.306590516840318014e+04
-4.306291028396836191e+04 -4.306082850441350456e+04 -4.306120951396252349e+04 -4.306440859061833908e+04 -4.306504940744848864e+04 -4.305909504972077411e+04 -4.306118636952593079e+04 -4.306342638285608700e+04 -4.305459390185998200e+04 -4.306401915011832898e+04 -4.305976036689660395e+04 -4.306319256344356108e+04 -4.306271648410300259e+04 -4.305954457698862097e+04 -4.306075780229386874e+04 -4.306090397280434263e+04 -4.306153963780295453e+04 -4.305590396850892284e+04 -4.306233330387640308e+04 -4.306206336182472296e+04 -4.306151885713681258e+04 -4.305842744323892111e+04 -4.306484012973356585e+04 -4.306006517325105233e+04 -4.305662139538711926e+04 -4.306079251698866574e+04 -4.306281333962103236e+04 -4.306375320917247882e+04 -4.306426107860580669e+04 -4.306342056508388487e+04 -4.305965377053645352e+04 -4.306590516840318014e+04
-4.306420986153957347e+04 -4.305921119296371035e+04 -4.306015924747347162e+04 -4.306454511689623178e+04 -4.306509792688290327e+04 -4.306176987109161564e+04 -4.306118769877489831e+04 -4.306395817263152276e+04 -4.304905428499325353e+04 -4.306401915011832898e+04 -4.305976036689660395e+04 -4.306319256344356108e+04 -4.306124798638127686e+04 -4.306076193765060452e+04 -4.306088525044092967e+04 -4.306200076186609658e+04 -4.306171927984244394e+04 -4.305590396850892284e+04 -4.306201987136948446e+04 -4.306229864568224730e+04 -4.306161671997547091e+04 -4.305842744323892111e+04 -4.306462208428310987e+04 -4.306006833350542729e+04 -4.305097894456429640e+04 -4.306079251698866574e+04 -4.306281333962103236e+04 -4.306373721964358992e+04 -4.306300367600096070e+04 -4.306513566017726407e+04 -4.305824809814382024e+04 -4.306516330873329571e+04
-4.306406078772122419e+04 -4.305933592180302367e+04 -4.305680290901367698e+04 -4.306484190083164140e+04 -4.306501421934699465e+04 -4.306172693641477963e+04 -4.306118769877489831e+04 -4.306390634111894178e+04 -4.304677508656097052e+04 -4.306401915011832898e+04 -4.305976036689660395e+04 -4.306315956778638792e+04 -4.306076168311102083e+04 -4.306076254973153118e+04 -4.306006420599028206e+04 -4.306200076186609658e+04 -4.306008398745288287e+04 -4.305297313732064504e+04 -4.306201987136948446e+04 -4.306229864568224730e+04 -4.306150435479367297e+04 -4.305846211381258036e+04 -4.306545436304851319e+04 -4.306006833350542729e+04 -4.304769916036308859e+04 -4.306079251698866574e+04 -4.306435863387860445e+04 -4.306373721964358992e+04 -4.306151629697325552e+04 -4.306568987681214639e+04 -4.305824809814382024e+04 -4.306516330873329571e+04
-4.306406078772122419e+04 -4.305933592180302367e+04 -4.305680290901367698e+04 -4.306484190083164140e+04 -4.306501421934699465e+04 -4.306245360887808783e+04 -4.306117662453889352e+04 -4.306212156560861331e+04 -4.304277647829677881e+04 -4.306401915011832898e+04 -4.305618058745123562e+04 -4.306195298467878456e+04 -4.306054698897618073e+04 -4.306180487685601838e+04 -4.306006420599028206e+04 -4.306198374361106107e+04 -4.305866327584011015e+04 -4.305297313732064504e+04 -4.305984520721323497e+04 -4.306229864568224730e+04 -4.306127518334533670e+04 -4.305499508684066677e+04 -4.306545436304851319e+04 -4.306001070706193423e+04 -4.304835798344788782e+04 -4.306062741028890741e+04 -4.306512290503073018e+04 -4.306239840845380968e+04 -4.306151629697325552e+04 -4.306145852758576802e+04 -4.305825305808133271e+04 -4.306516330873329571e+04
-4.306406078772122419e+04 -4.305811316576453828e+04 -4.305823582809993968e+04 -4.306459809456000949e+04 -4.306501421934699465e+04 -4.306353513900535472e+04 -4.305861547291326133e+04 -4.306212156560861331e+04 -4.304277647829677881e+04 -4.306401915011832898e+04 -4.305633491030072764e+04 -4.306195298467878456e+04 -4.306054698897618073e+04 -4.306157249841030716e+04 -4.305757126972153492e+04 -4.306198374361106107e+04 -4.305686811175451294e+04 -4.305047471453913749e+04 -4.305546560084402154e+04 -4.306229864568224730e+04 -4.306127518334533670e+04 -4.305525811631513352e+04 -4.306542448848992353e+04 -4.306068900502822362e+04 -4.304834878417135042e+04 -4.306062741028890741e+04 -4.306277199575026316e+04 -4.306000643076941924e+04 -4.306120532061743870e+04 -4.306145852758576802e+04 -4.305825305808133271e+04 -4.306516330873329571e+04
-4.306420511719534989e+04 -4.305811316576453828e+04 -4.305249124226147978e+04 -4.306462363402367191e+04 -4.306530346307697619e+04 -4.306353513900535472e+04 -4.305861547291326133e+04 -4.306352029820501775e+04 -4.303560880252048082e+04 -4.306060104380022676e+04 -4.305633491030072764e+04 -4.306195298467878456e+04 -4.305826246169755177e+04 -4.306056237152041285e+04 -4.305877633106798021e+04 -4.306152383862125134e+04 -4.305686811175451294e+04 -4.304113311054285441e+04 -4.305772659602198837e+04 -4.305910745001518808e+04 -4.305561042973466829e+04 -4.304988267740955780e+04 -4.306571146214057808e+04 -4.306017471443097747e+04 -4.304609933148365963e+04 -4.306065248770327889e+04 -4.306261269322801672e+04 -4.306087624257765856e+04 -4.306120406088703749e+04 -4.306120806340095442e+04 -4.305761622421651555e+04 -4.306516330873329571e+04
